Species/Database	Entity type	Annotations	File
Bos taurus	complex	12	goa_cow_complex.gaf.gz
Canis lupus familiaris	complex	0	goa_dog_complex.gaf.gz
Gallus gallus	complex	25	goa_chicken_complex.gaf.gz
Homo sapiens	complex	2134	goa_human_complex.gaf.gz
Sus scrofa	complex	13	goa_pig_complex.gaf.gz
Solanaceae	gene	1362	sgn.gaf.gz
Bos taurus	isoform	46166	goa_cow_isoform.gaf.gz
Canis lupus familiaris	isoform	75756	goa_dog_isoform.gaf.gz
Gallus gallus	isoform	30052	goa_chicken_isoform.gaf.gz
Homo sapiens	isoform	146309	goa_human_isoform.gaf.gz
Sus scrofa	isoform	79162	goa_pig_isoform.gaf.gz
Arabidopsis thaliana	n/a	185315	tair.gaf.gz
Aspergillus nidulans	n/a	640048	aspgd.gaf.gz
Caenorhabditis elegans	n/a	100672	wb.gaf.gz
Danio rerio	n/a	149807	zfin.gaf.gz
Dictyostelium discoideum	n/a	65221	dictybase.gaf.gz
Drosophila melanogaster	n/a	88865	fb.gaf.gz
Multi-species	n/a	350728	cgd.gaf.gz
Multi-species	n/a	55248	ecocyc.gaf.gz
Multi-species	n/a	6281	genedb_lmajor.gaf.gz
Multi-species	n/a	19232	genedb_tbrucei.gaf.gz
Multi-species	n/a	98178	reactome.gaf.gz
Mus musculus	n/a	401694	mgi.gaf.gz
Pseudomonas aeruginosa	n/a	3630	pseudocap.gaf.gz
Rattus norvegicus	n/a	378993	rgd.gaf.gz
Saccharomyces cerevisiae	n/a	104321	sgd.gaf.gz
Schizosaccharomyces japonicus	n/a	31846	japonicusdb.gaf.gz
Schizosaccharomyces pombe	n/a	42111	pombase.gaf.gz
Bos taurus	protein	141306	goa_cow.gaf.gz
Canis lupus familiaris	protein	126824	goa_dog.gaf.gz
Gallus gallus	protein	105804	goa_chicken.gaf.gz
Homo sapiens	protein	543477	goa_human.gaf.gz
Sus scrofa	protein	134466	goa_pig.gaf.gz
Bos taurus	rna	10083	goa_cow_rna.gaf.gz
Canis lupus familiaris	rna	14322	goa_dog_rna.gaf.gz
Gallus gallus	rna	2177	goa_chicken_rna.gaf.gz
Homo sapiens	rna	55229	goa_human_rna.gaf.gz
Sus scrofa	rna	21970	goa_pig_rna.gaf.gz
